,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,651050152224886784,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Thank you lol #fun #humor #BlackTwitter #Blackpeople http://t.co/BNfG9AY8wJ,2015-10-05 15:03,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,1.0,"[fun, humor, BlackTwitter, Blackpeople]",[],,
1,675208859477270528,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,HAPPY BIRTHDAY #DanielHoltzclaw! See you in 263 years lol  #BlackTwitter #BlackToLive #BlackPower #BlackPeople https://t.co/zVkFWyY7Ts,2015-12-11 07:01,Twitter Web Client,,,,False,,,,,0.0,1.0,9.0,6.0,"[DanielHoltzclaw, BlackTwitter, BlackToLive, BlackPower, BlackPeople]",[],,
2,645139642753245184,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,It is our last defensive tool.#police #cops #policeBrutality #staywoke #BlackLivesMatter #BlackTwitter #blackpeople http://t.co/XS7eXdFXNK,2015-09-19 07:37,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,1.0,"[police, cops, policeBrutality, staywoke, BlackLivesMatter, BlackTwitter, blackpeople]",[],,
3,701819270762631168,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,This prejudice becomes really ridiculous sometimes  #BlackToLive #BlackPeople https://t.co/p4qBEPkKta,2016-02-22 17:22,TweetDeck,,,,False,,,,,0.0,0.0,2.0,3.0,"[BlackToLive, BlackPeople]",[],,
4,697461359206862848,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Father pens book to explain #protest to kids in the time of #BlackLivesMatter #BlackPeople https://t.co/AfkjImm8WM,2016-02-10 16:45,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,3.0,"[protest, BlackLivesMatter, BlackPeople]",[],,
5,707302487217164289,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"'Not every slave owner was bad,' '#police are there to protect us,' '#Hillary cares about #blackpeople, not money' https://t.co/UfCvelYsyR",2016-03-08 20:30,TweetDeck,,,,False,,,,,0.0,0.0,8.0,13.0,"[police, Hillary, blackpeople]",[],,
6,666380256547205122,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Never do that! You're gonna get your ass kicked! #BlackMatters #GrowingUpBlack #BlackPeople https://t.co/vO8nBkHeCB,2015-11-16 22:20,TweetDeck,,,,False,,,,,0.0,0.0,9.0,3.0,"[BlackMatters, GrowingUpBlack, BlackPeople]",[],,
7,665994210038824960,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,One of the most accurate definitions of #racism. #BlackMatters #BlackLivesMatter #BlackTwitter #blackpeople https://t.co/kQRHsMLo8S,2015-11-15 20:46,Twitter Web Client,,,,False,,,,,0.0,0.0,8.0,9.0,"[racism, BlackMatters, BlackLivesMatter, BlackTwitter, blackpeople]",[],,
8,684860982695428096,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,We are of the universe. Can't tell me we aren't magic. #BlackGirlMagic #BlackToLive #Beauty #Blackpeople https://t.co/LZAfd8VTZm,2016-01-06 22:15,Twitter Web Client,,,,False,,,,,0.0,0.0,12.0,2.0,"[BlackGirlMagic, BlackToLive, Beauty, Blackpeople]",[],,
9,656460249759518720,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Police arrest 23 as students protest tuition fee-hike plan  #PoliceBrutality #cops #acab #BlackTwitter #BlackPeople https://t.co/5IX9Lud45x,2015-10-20 13:21,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,3.0,"[PoliceBrutality, cops, acab, BlackTwitter, BlackPeople]",[],,
10,662620635760164869,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,#ShaunKing Has Twitter Account Suspended After CNN Email Exchange #BlackLivesMatter #BlackPeople https://t.co/UrtXcFOzk4,2015-11-06 13:20,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,3.0,"[ShaunKing, BlackLivesMatter, BlackPeople]",[],,
11,710831929889652736,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"Lucy Stanton Day Sessions, the first black woman to graduate from college (Oberlin) 1850 #BlackHistory #BlackPeople https://t.co/lTyD1M3QCz",2016-03-18 14:15,TweetDeck,,,,False,,,,,0.0,1.0,35.0,29.0,"[BlackHistory, BlackPeople]",[],,
12,680190971880030208,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,#BlackToLive #BlackTwitter #BLM #Blackpeople  https://t.co/iZEKXuDMzn,2015-12-25 00:58,Twitter Web Client,,,6.801162912571105e+17,False,,,,,0.0,0.0,0.0,0.0,"[BlackToLive, BlackTwitter, BLM, Blackpeople]",[https://twitter.com/TalentedMrRiha/status/680116291257110528],,
13,634726153190686720,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,All peaceful at the corner of Walton and Page. #Stl #MansurBallBey #RIP #BlackLivesMatter #BlackTwitter #blackpeople http://t.co/jzmLKLZLup,2015-08-21 13:58,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[Stl, MansurBallBey, RIP, BlackLivesMatter, BlackTwitter, blackpeople]",[],,
